model,epochs,fold,operation_id,date,count,raw_MAE,raw_RMSE,raw_Bias,raw_Corr,primary_MAE,primary_RMSE,primary_Bias,primary_Corr,kalman_MAE,kalman_RMSE,kalman_Bias,kalman_Corr
wl_linear_regression,1,operation_16,16,2024-07-19,382,0.277266307026928,0.42157201378493,0.05200473113833922,0.1242658196624026,0.277266307026928,0.42157201378493,0.05200473113833922,0.1242658196624026,0.16940045239825466,0.22856508778681345,0.05295777165961211,0.3075923211417554
wl_linear_regression,1,operation_17,17,2024-07-19,602,0.27195911668859846,0.393265508588032,0.08445193244769328,0.4558297378309497,0.27195911668859846,0.393265508588032,0.08445193244769328,0.4558297378309497,0.23367542694496088,0.3261882267217867,0.0840238979198247,0.5314862645864152
wl_linear_regression,1,operation_18,18,2024-07-19,397,0.2618982227383092,0.3046131643335005,-0.2158599566452449,-0.2547979296147627,0.2618982227383092,0.3046131643335005,-0.2158599566452449,-0.2547979296147627,0.2321568490549355,0.27114022388457043,-0.21423770853784044,-0.39208354787612376
wl_mlp,22,operation_01,1,2024-07-17,337,0.14248854823919008,0.19628389234822047,0.05537609601233055,0.6466528124705181,0.14248854823919008,0.19628389234822047,0.05537609601233055,0.6466528124705181,0.14139901774683553,0.189628125385769,0.05642883984898479,0.6693139130597618
wl_mlp,22,operation_02,2,2024-07-17,543,0.03714986444617284,0.052127843275273825,0.009072552728389508,0.6471411760506427,0.03714986444617284,0.052127843275273825,0.009072552728389508,0.6471411760506427,0.03632322787909432,0.050193338350345375,0.009053596461044717,0.6691982017087281
wl_mlp,22,operation_03,3,2024-07-18,630,0.033536833430093435,0.055524719906088496,-0.029339386546422565,0.6877014264839553,0.033536833430093435,0.055524719906088496,-0.029339386546422565,0.6877014264839553,0.03298450936434911,0.054825058149914785,-0.029406154494476054,0.7096730092992573
wl_mlp,22,operation_04,4,2024-07-18,653,0.04603535986603858,0.06563557764214269,0.03288062681282826,0.1525656444135121,0.04603535986603858,0.06563557764214269,0.03288062681282826,0.1525656444135121,0.04518033180578541,0.06133231536932891,0.03285007582681248,0.17638858681072195
wl_mlp,22,operation_05,5,2024-07-18,123,0.07466747896458076,0.08322541559412083,-0.06135708529774735,0.7821423807235052,0.07466747896458076,0.08322541559412083,-0.06135708529774735,0.7821423807235052,0.06999221800561216,0.07782896169474231,-0.06149191217052718,0.8895098368938041
wl_mlp,22,operation_06,6,2024-07-18,442,0.048428667077111985,0.06278393533529111,0.0413047199335573,0.7803215465138669,0.048428667077111985,0.06278393533529111,0.0413047199335573,0.7803215465138669,0.04577110938518088,0.058597490114790006,0.04140327738662082,0.8290609746621496
wl_mlp,22,operation_07,7,2024-07-18,642,0.030305050615209658,0.03834786322075231,-0.016502783677288305,0.651809448165969,0.030305050615209658,0.03834786322075231,-0.016502783677288305,0.651809448165969,0.03122813957922894,0.03908998637105433,-0.01649477967672064,0.637249044590928
wl_mlp,22,operation_08,8,2024-07-18,460,0.028408341822416885,0.03642117698763571,-0.004187162026115086,0.6804887382097266,0.028408341822416885,0.03642117698763571,-0.004187162026115086,0.6804887382097266,0.02810359194772239,0.034359265648749464,-0.004138869806967609,0.7083490456495298
wl_mlp,22,operation_09,9,2024-07-18,577,0.03154835420010201,0.04297276734376875,0.00993363737440192,0.6404174174796327,0.03154835420010201,0.04297276734376875,0.00993363737440192,0.6404174174796327,0.03029835414273909,0.039763372490080065,0.01002476940237366,0.6804357471126379
wl_mlp,22,operation_10,10,2024-07-18,438,0.032486884561303546,0.06727373366007537,0.016941765671995675,0.5542208350360345,0.032486884561303546,0.06727373366007537,0.016941765671995675,0.5542208350360345,0.03214145728604228,0.0627198727554915,0.016941219083835182,0.5792156894503633
wl_mlp,22,operation_11,11,2024-07-18,323,0.04062921934452588,0.04710119465489538,0.032594222402425,0.8049327132374046,0.04062921934452588,0.04710119465489538,0.032594222402425,0.8049327132374046,0.042815160801564146,0.04911535075714349,0.032748097531869524,0.767271652770141
wl_mlp,22,operation_12,12,2024-07-18,349,0.09096348046573322,0.10851430662445107,-0.02807716995392283,0.7782177745972599,0.09096348046573322,0.10851430662445107,-0.02807716995392283,0.7782177745972599,0.08688359586885837,0.0970917246726004,-0.028234076097410233,0.8341375725368331
wl_mlp,22,operation_13,13,2024-07-18,305,0.03625980517903312,0.04021845198036562,-0.03508462827713763,0.7521790611170996,0.03625980517903312,0.04021845198036562,-0.03508462827713763,0.7521790611170996,0.03569582891197682,0.039665330553613515,-0.03498245125222521,0.7640637880227036
wl_mlp,22,operation_14,14,2024-07-19,310,0.059544629435385424,0.09961636607349755,-0.0009219646453857422,0.3260932697625909,0.059544629435385424,0.09961636607349755,-0.0009219646453857422,0.3260932697625909,0.057378836027497514,0.092553618235725,-0.0011552139691198286,0.34458013819317285
wl_mlp,22,operation_15,15,2024-07-19,487,0.057499967806148335,0.06235757773289273,0.05745228017380105,0.8193437858284393,0.057499967806148335,0.06235757773289273,0.05745228017380105,0.8193437858284393,0.057532486810363916,0.060818555162452416,0.057532486810363916,0.871647619996564
wl_mlp,22,operation_16,16,2024-07-19,382,0.05000084482562479,0.059359723897341676,-0.03520773093737857,0.2671111132918188,0.05000084482562479,0.059359723897341676,-0.03520773093737857,0.2671111132918188,0.04167232325844554,0.04882311367441664,-0.03485715727304863,0.3823914088662798
wl_mlp,22,operation_17,17,2024-07-19,602,0.06856358328530955,0.08454366775433839,0.06820209953079984,0.31820209392023036,0.06856358328530955,0.08454366775433839,0.06820209953079984,0.31820209392023036,0.06805589421732548,0.08228359490089068,0.06805589421732548,0.3261423852617479
wl_mlp,22,operation_18,18,2024-07-19,397,0.02287994283873128,0.030894020099373313,-0.009104093316219915,0.05430155829558704,0.02287994283873128,0.030894020099373313,-0.009104093316219915,0.05430155829558704,0.019473932574796512,0.025568177374387394,-0.00867952392575906,0.045159486553264065
wl_random_forest,1,operation_01,1,2024-07-17,337,0.018918500057781628,0.027573505493260417,0.002940661190842852,0.9728919751984921,0.01918155497492898,0.02689612322273125,0.0032467854899738756,0.9774303906396341,0.019181658802770448,0.02689619372956606,0.0032468054760619583,0.9774303841688743
wl_random_forest,1,operation_02,2,2024-07-17,543,0.02496643682948199,0.030795700530383927,0.014643608267947606,0.9206686319106865,0.025539306811698928,0.03147019964081072,0.014668842025896352,0.917380689968927,0.025539391203867633,0.031470335726549344,0.014668846467879536,0.917379657637454
wl_random_forest,1,operation_03,3,2024-07-18,630,0.02172023361902196,0.030776559152725577,-0.018158705105545136,0.9219843827051403,0.021124630376105315,0.030193964570186086,-0.01825608759357173,0.9282923064322469,0.021124600318864487,0.030193967648271883,-0.01825609502976913,0.9282924100681069
wl_random_forest,1,operation_04,4,2024-07-18,653,0.016696102608062174,0.023424790955097776,-0.007260867065276287,0.848611950595555,0.016543208191523124,0.02259517401920422,-0.007232143146149235,0.8574518940158686,0.016543256104756363,0.022595156209785756,-0.007232141555723004,0.8574519600690037
wl_random_forest,1,operation_05,5,2024-07-18,123,0.01894784846195245,0.02356080594194881,-0.01706534178887167,0.9843885066391348,0.019427502727234106,0.02586226151001279,-0.017817503740261288,0.978553255185327,0.019427518227157985,0.02586259009331397,-0.017817523552977606,0.9785520461002121
